         3067969 function calls (3067919 primitive calls) in 139.101 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 lof.py:272(_local_reachability_density)
     1263    0.003    0.000    0.006    0.000 logger.py:23(_squeeze_time)
     1263    0.010    0.000    0.016    0.000 logger.py:39(short_format_time)
        1    0.000    0.000    0.000    0.000 mio.py:19(_open_file)
        1    0.000    0.000    0.006    0.006 mio.py:43(mat_reader_factory)
        1    0.000    0.000    0.009    0.009 mio.py:76(loadmat)
        1    0.000    0.000    0.000    0.000 mio5.py:130(__init__)
        1    0.000    0.000    0.000    0.000 mio5.py:169(guess_byte_order)
        1    0.000    0.000    0.000    0.000 mio5.py:177(read_file_header)
        1    0.000    0.000    0.000    0.000 mio5.py:188(initialize_read)
        1    0.000    0.000    0.000    0.000 mio5.py:200(read_var_header)
        1    0.000    0.000    0.002    0.002 mio5.py:235(read_var_array)
        1    0.000    0.000    0.002    0.002 mio5.py:254(get_variables)
        1    0.000    0.000    0.000    0.000 miobase.py:161(read_dtype)
        1    0.000    0.000    0.006    0.006 miobase.py:187(get_matfile_version)
        1    0.000    0.000    0.000    0.000 miobase.py:345(__init__)
        2    0.000    0.000    0.000    0.000 miobase.py:389(end_of_stream)
       35    0.000    0.000    0.001    0.000 numeric.py:146(ones)
        2    0.000    0.000    0.000    0.000 numeric.py:1917(isscalar)
   173905    0.082    0.000    0.209    0.000 numeric.py:424(asarray)
     8160    0.006    0.000    0.016    0.000 numeric.py:495(asanyarray)
        1    0.000    0.000    0.000    0.000 numeric.py:547(ascontiguousarray)
       57    0.001    0.000    0.002    0.000 os.py:664(__getitem__)
       18    0.000    0.000    0.000    0.000 os.py:672(__setitem__)
       18    0.001    0.000    0.003    0.000 os.py:678(__delitem__)
      111    0.000    0.000    0.001    0.000 os.py:742(encode)
       19    0.001    0.000    0.001    0.000 os.py:746(decode)
        3    0.000    0.000    0.000    0.000 os.py:760(getenv)
     2696    0.013    0.000    0.095    0.000 parallel.py:126(__init__)
     5562    0.002    0.000    0.002    0.000 parallel.py:133(__len__)
     1245    0.004    0.000    0.026    0.000 parallel.py:140(cpu_count)
     1433    0.010    0.000    0.054    0.000 parallel.py:169(delayed)
     1433    0.001    0.000    0.001    0.000 parallel.py:185(delayed_function)
